1889 cat #,Title,Artist,creation date,creation place,NB entry date,NB entry place,post NB 1 date,post NB 1 place,post NB 2 date,post NB place 2
45,Albert Cuyp,Prince Henry Frederick at the Siege of Breda,1645,"Dordrecht, Netherlands",1849-05-10,"London, England",x,,,
46,David de Heem,Fruit,1665,"Antwerp, Belgium",1861,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
47,"Jan, son of David de Heem",Fruit and Flowers,1670,"Antwerp, Belgium",1852-05-08,"London, England",x,,,
48,Peter de Hooch,The Pet Parrot,1672,"Amsterdam, Netherlands",1854,"London, England",1951,"Hexham, Northumberland, England",1970,"London, England"
49,Claude de Jonghe,Old London Bridge,1658,"Utrecht, Netherlands",1878-05-11,"London, England",x,,,
50,Simon de Vlieger,Schevelinghen,1645,"Amsterdam, Netherlands",1851,"London, England",x,,,
51,Emanuel de Witte,"Oude Kerk, Amsterdam",1669,"Amsterdam, Netherlands",1846,"London, England",1931,"Bern, Switzerland",1961,"Amsterdam, Netherlands"
52,Emanuel de Witte,"Oude Kerk, Amsterdam",1669,"Amsterdam, Netherlands",1846,"London, England",1931,"Bern, Switzerland",1961,"Amsterdam, Netherlands"
53,Gerard Dow,The Philosopher,1632,"Leiden, Netherlands",1849-05-10,"London, England",x,,,
54,Karel du Jardin,The Mange,1654,"Amsterdam, Netherlands",1849,"London, England",x,,,
55,Cornelis Dusart,The Father's Return,1689,"Haarlem, Netherlands",1856,"London, England",x,,,
56,Jan Fyt,Cats Fighting,1641,"Antwerp, Belgium",1840,"London, England",1919-12,"London, England",x,
57,Jan Fyt,Game,1650,"Antwerp, Belgium",1867,"London, England",1919-12,"London, England",x,
58,Jan Griffier the Elder,Landscape,1677,"Amsterdam, Netherlands",1880,"London, England",1919-12,,,
59,Jan Griffier the Elder,Landscape,1677,"Amsterdam, Netherlands",1880,"London, England",1919-12,,,
60,Jan Hackaert,Starting for the Chase,1665,"Amsterdam, Netherlands",1854,"London, England",x,,,
61,Frans Hals the Elder,Peter son of Cornelius Van der Morsch,1616,"Haarlem, Netherlands",1866,"London, England",1929,"New York, NY",1961,"Pittsburgh, PA"
62,Meindert Hobbema,Landscape,1670,"Amsterdam, Netherlands",1847,"London, England",x,,,
63,Melchior D'Hondekoeter,Poultry,1675,"Amsterdam, Netherlands",1865,"London, England",x,,,
64,Philip Koninck,Landscape in Gelderland,1670,"Amsterdam, Netherlands",1846,"London, England",1927,"The National Gallery, London",,
65,Solomon Koninck,Portrait,1645,"Amsterdam, Netherlands",1846,"London, England",x,,,
66,Peter Joseph La Fontaine,Interior of a Church,1785,"Paris, France",1856-05-02,"London, England",1930-07,,,
67,C. Lelienberg,Rabbit Hunting,1645,"The Hague, Netherlands",1882,"London, England",x,,,
68,C. Lelienberg,Hare Hunting,1645,"The Hague, Netherlands",1882,"London, England",x,,,
69,Johann Lingelback,Italian Landscape with Peasants,1660,"Amsterdam, Netherlands",1846,"London, England",1990,"New York, NY",2012,"Amsterdam, Netherlands"
70,Nicholas Maas,The Tired Nurse,1655,"Amsterdam, Netherlands",1850,"London, England",x,,,
71,Frans van Mieris the Elder,Portrait of the Artist,1660,"Leiden, Netherlands",1878,"London, England",x,,,
72,Frans van Mieris the Elder,The Musical Lady,1671,"Leiden, Netherlands",1850,"London, England",x,,,
73,Willem van Mieris,The Letter Recieved,1710,"Leiden, Netherlands",1850,"London, England",x,,,
74,Gabriel Metsu,The Intruder,1660,"Amsterdam, Netherlands",1846,"London, England",1927,"New York, NY",1937,"Washington, D.C."
75,Gabriel Metsu,Portrait of the Artist,1665,"Amsterdam, Netherlands",1846,"London, England",x,,,
76,Gabriel Metsu,Child Asleep,1655,"Amsterdam, Netherlands",1853,"London, England",x,,,
77,Peter Neefs,Interior of a Church,1640,"Antwerp, Belgium",1856-05-02,"London, England",x,,,
78,Caspar Netscher,A Girl,1670,"The Hague, Netherlands",1848-05-13,"London, England",x,,,
79,Caspar Netscher,Portrait,1680,"The Hague, Netherlands",1840,"London, England",x,,,
80,Caspar Netscher,The Duchess of Maine,1675,"The Hague, Netherlands",1855-03-10,"London, England",x,,,
81,Paul Potter,The Young Bull,1647,"Amsterdam, Netherlands",1840,"London, England",x,,,
82,Adam Pynacker,Landscape,1660,"Amsterdam, Netherlands",1850,"London, England",x,,,
83,Adam Pynacker,Landscape,1665,"Amsterdam, Netherlands",1851,"London, England",x,,,
84,Rembrandt van Ryn,Adoration of the Magi,1659,"Amsterdam, Netherlands",1845,"London, England",1963,"Nijmegen, Netherlands",1986,"New York, NY"
85,Rembrandt van Ryn,Portrait,1667,"Amsterdam, Netherlands",1846,"London, England",x,,,
86,Rembrandt van Ryn,Landscape,1645,"Amsterdam, Netherlands",1854,"London, England",1928,"Amsterdam, Netherlands",1985,"Madrid, Spain"
87,Peter Paul Reubens,The Meeting of Abraham and Melchizedek,1626,"Antwerp, Belgium",1841,"London, England",1936,"Oxford, England",1958,"Washington, D.C."
88,Peter Paul Reubens,The Waggon,1635,"Antwerp, Belgium",1856-05-03,"London, England",1928,"Haarlem, Netherlands",1948,"Rotterdam, Netherlands"
89,Jacob Ruisdael,Castle of Bredevode,1655,"Amsterdam, Netherlands",1848,"London, England",x,,,
90,Jacob Ruisdael,Windmill,1660,"Amsterdam, Netherlands",1851,"London, England",x,,,
91,Jacob Ruisdael,Waterfall,1662,"Amsterdam, Netherlands",1851,"London, England",1940,"Oxford, England",1962,"The Univeristy of Oxford, Oxford, England"
92,Jacob Ruisdael,Cornfields,1663,"Amsterdam, Netherlands",1849,"London, England",x,,,
93,Jacob Ruisdael,Bleaching Ground,1659,"Amsterdam, Netherlands",1851,"London, England",x,,,
94,Jacob Ruisdael,A Fresh Breeze,1660,"Amsterdam, Netherlands",1851,"London, England",1927,"Worcester, MA",1940,"Worcester Art Museum, Worcester, MA"
95,Godefried Schacken,Portrait of De Witt,1675,"The Hague, Netherlands",1846,"London, England",x,,,
96,Hendrik Martenz Sorg,Fish Market,1655,"Rotterdam, Netherlands",1854,"London, England",1941-12,"London, England",1979,"Manchester, England"
97,Jan Steen,Portrait of the Artist,1664,"Leiden, Netherlands",1846,"London, England",1928,"Amsterdam, Netherlands",1992,"Madrid, Spain"
98,Jan Steen,The Doctor,1665,"Leiden, Netherlands",1846,"London, England",1926,"New York, NY",1972,"Museum Boijmans, Rotterdam, Netherlands"
99,Jan Steen,School in an Uproar,1672,"Leiden, Netherlands",1846,"London, England",x,,,
100,David Teniers I,The Fortunte Teller,1620,"Antwerp, Belgium",1840,"London, England",x,,,
101,David Teniers I,Landscape,1625,"Antwerp, Belgium",1851,"London, England",x,,,
102,David Teniers II,Corps de Garde,1647,"Brussels, Belgium ",1848,"London, England",x,,,
103,David Teniers II,The Philosopher,1645,"Brussels, Belgium ",1851,"London, England",x,,,
104,David Teniers II,Peasants Drinking,1650,"Brussels, Belgium ",1851,"London, England",x,,,
105,David Teniers II,Village Festival,1640,"Brussels, Belgium ",1849,"London, England",x,,,
106,David Teniers II,Bargaining for Pigs,1655,"Brussels, Belgium ",1851,"London, England",x,,,
107,David Teniers II,Landscape,1656,"Brussels, Belgium ",1851,"London, England",x,,,
108,David Teniers II,The Harvest,1665,"Brussels, Belgium ",1850,"London, England",x,,,
109,David Teniers II,Ducks,1638,"Brussels, Belgium ",1859,"London, England",x,,,
110,David Teniers II,Ducks,1638,"Brussels, Belgium ",1859,"London, England",x,,,
111,David Teniers II,Monkeys at Cards,1636,"Brussels, Belgium ",1850,"London, England",x,,,
112,David Teniers II,Monkeys Shaving Cats,1633,"Brussels, Belgium ",1850,"London, England",x,,,
113,Gerard Ter Burg,Lady Drinking,1656,Netherlands,1846,"London, England",x,,,
114,Gerard Ter Burg,Lady Writing,1656,Netherlands,1846,"London, England",1915,"Helensburgh, Scotland",1963,"Amsterdam, Netherlands"
115,Jan van de Capelle,Mouth of the Brill,1650,"Amsterdam, Netherlands",1850,"London, England",x,,,
116,Jan van de Capelle,A Calm,1652,"Amsterdam, Netherlands",1847,"London, England",1995,"New York, NY",2001,"Milwaukee, WI"
117,Willem Van de Velde,View of a River,1659,"Amsterdam, Netherlands",1851,"London, England",x,,,
118,Willem Van de Velde,A calm,1661,"Amsterdam, Netherlands",1848,"London, England",x,,,
119,Willem Van de Velde,The Salute,1663,"Amsterdam, Netherlands",1840,"London, England",x,,,
120,Gerbrand van den Eeckhout,A Philosopher,1643,"Amsterdam, Netherlands",1850,"London, England",1929-11,,,
121,Jan van der Hagen,Landscape,1655,Netherlands,1859-07-26,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
122,Bartholomew van der Helst,The Standard Bearer,1640,"Amsterdam, Netherlands",1857,"London, England",x,,,
123,Jan van der Heyde,View in a Town,1670,Netherlands,1846,"London, England",1895,"Aylesbury, Buckinghamshire, England",,
124,Artus van der Neer,Dawn,1650,"Amsterdam, Netherlands",1846,"London, England",1930,"The Hague, Netherlands",1953,"The Hague, Netherlands"
125,Artus van der Neer,Evening,1650,"Amsterdam, Netherlands",1846,"London, England",1930,"The Hague, Netherlands",1953,"The Hague, Netherlands"
126,Artus van der Neer,Moonlight,1655,"Amsterdam, Netherlands",1851,"London, England",x,,,
127,Anthony van Dyck,Ecstasy of St. Augustine,1628,"Antwerp, Belgium",1844,"London, England",1937,"Chicago, IL",1959,"New Haven, CT"
128,Anthony van Dyck,Guitar Player,1640,"Dunkirk, France",1853,"London, England",1930,"London, England",1934,"Boston, MA"
129,Anthony van Dyck,Earl of Newport,1637,"London, England",1881,"London, England",1927,"New York, NY",1977,"New Haven, CT"
130,Anthony van Dyck,"Queen Henrietta Maria, Sir Jeffrey Hudson and a Monkey",1633,"London, England",1881,"London, England",1928,"San Simeon, CA",1952,"Washington, D.C."
131,Anthony van Dyck,Adam de Coster,1635,"Antwerp, Belgium",1850,"London, England",x,,,
132,Jan van Goyen,View on a River,1647,"The Hague, Netherlands",1851,"London, England",x,,,
133,Samuel van Hoogstraeten,Portrait,1665,"Dordrecht, Netherlands",1840,"London, England",x,,,
134,Jan van Huysum,Vase with Flowers,1732,"Amsterdam, Netherlands",1867,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
135,Jan van Kessel,Landscape,1670,"Antwerp, Belgium",1850,"London, England",x,,,
136,Michael van Musscher,Willem van de Velde the Younger,1666,"Amsterdam, Netherlands",1846,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
137,Adrian van Ostade,Card Players,1655,"Haarlem, Netherlands",1850,"London, England",x,,,
138,Adrian van Ostade,The Musician,1660,"Haarlem, Netherlands",1845,"London, England",x,,,
139,Issac van Ostade,Winter Scene,1643,"Haarlem, Netherlands",1850,"London, England",1952,"Haywards Heath, England",2016,"Amsterdam, Netherlands"
140,Peter van Slingelandt,Interior: Candlelight,1670,"The Hague, Netherlands",1849,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
141,Domenicus van Tol,Girl with a Pink,1662,"Leiden, Netherlands",1846,"London, England",x,,,
142,Hendrik van Vliet,"Interior of the Nieuwe Kerke, Delft, with the tomb of William the Silent, Prince of Orange",1655,"Delft, Netherlands",1846,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
143,Abraham Verboom,Hilly Landscape,1650,"Rotterdam, Netherlands",1846,"London, England",x,,,
144,Jan Baptist Weenix,Game,1639,"Utrecht, Netherlands",1845,"London, England",1919-12,,,
145,Jan Baptist Weenix,Game,1641,"Utrecht, Netherlands",1850,"London, England",x,,,
146,Philip Wouwermans,The Sportsman,1649,"Haarlem, Netherlands",1851,"London, England",x,,,
147,Philip Wouwermans,The Horse-fair,1641,"Haarlem, Netherlands",1846,"London, England",x,,,
148,Jan Wynants,Landscape,1643,"Haarlem, Netherlands",1847,"London, England",x,,,
149,Jan Wynants,Landscape and Cattle,1670,"Amsterdam, Netherlands",1838,"London, England",1999,"Amsterdam, Netherlands",,
150,Antonello de Messina,Saint Jerome in his Study,1475,"Messina, Italy",1849-06-09,"London, England",1894,"The National Gallery, London",,
151,Fra Bartolommeo,Holy Family,1528,"Rome, Italy",1855,"London, England",1932,"Courtauld Institute of Art, London, England",,
152,Fra Bartolommeo,Holy Family,1510,"Florence, Italy",1882,"London, England",1921,"Amsterdam, Netherlands",,
153,Il Bassano (Giacomo da Ponte),Landscape and Cattle,1560,"Bassano del Grappa, Italy",1849-06-09,"London, England",1934,"Lugano, Switzerland",1992,"Madrid, Spain"
154,Giovanni Bellini,Madonna and Child,1510,"Venice, Italy",1810,"London, England",1925,"New York, NY",1961,"Atlanta, GA"
155,Bronzino,Portrait,1525,"Florence, Italy",1858,"London, England",1930-07,,,
156,Giuliano Bugiardini,St. John the Baptist,1625,"Tuscany, Italy",1855,"London, England",1931,,,
157,Canaletto,The Rialto at Venice,1750,"Venice, Italy",1840,"London, England",1943,"New York, NY",1952,"Raleigh, NC"
158,Girolamo da Capri (ascribed to),Holy Family and Two Angels,1535,"Ferrara, Italy",1840,"London, England",x,,,
159,Agostino Carracci,The Apostles Round the Tomb of the Virgin,1580,"Bologna, Italy",1835,"London, England",1919-12,,,
160,Annibale Carracci,Virgin and Child with St. Francis,1598,"Rome, Italy",1840,"London, England",1946,"Detroit, MI",,
161,Annibale Carracci,Landscape,1615,"Rome, Italy",1830,"London, England",1957,"Bologna, Italy",,
162,Ludovico Carracci,Entombment,1590,"Bologna, Italy",1810,"London, England",1919-12,,,
163,Ludovico Carracci,Pieta,1605,"Bologna, Italy",1856,"London, England",x,,,
164,Ludovico Carracci,Bathsheba,1610,"Bologna, Italy",1810,"London, England",1919-12,,,
165,Ludovico Carracci,Adoration of the Shepherds,1585,"Bologna, Italy",1835,"London, England",x,,,
166,Ludovico Carracci,Christ Bearing His Cross and St. Veronica,1600,"Bologna, Italy",1825,"London, England",1919-12,,,
167,Antonio Allegri Correggio (ascribed to),Two Heads of Angels,1526,"Correggio, Italy",1838,"London, England",1930-07,,,
168,"Correggio, school of",Virgin and Child with St. Catharine and St. Clara,1530,"Parma, Italy",1825,"London, England",x,,,
169,Pietro da Cortona,The Magdalen and Angels,1628,"Rome, Italy",1830,"London, England",1919-12,,,
170,Pietro da Cortona,Saint Jerome in the Desert,1637,"Rome, Italy",1816,"London, England",1942-03,"New York, NY",1942-06,"Detroit, MI"
171,Pietro da Cortona,Infant Christ and St. John,1630,"Rome, Italy",1838,"London, England",x,,,
172,Pietro da Cortona,Adoration of the Shepherds,1635,"Rome, Italy",1810,"London, England",x,,,
173,Giuseppe Maria Crespi,Spanish Girl,1715,"Bologna, Italy",1795,"London, England",x,,,
174,Carlo Crivelli,Madonna and Child,1480,"Ascoli Piceno, Italy",1852-05-08,"London, England",1927,"New York, NY",,
175,Carlo Crivelli,The Resurrection,1482,"Camerino, Italy",1854,"London, England",1929-04,"Zurich, Switzerland",1963,"Riggisberg, Switzerland"
176,Carlo Crivelli,St. Bernadin and St. Claire,1487,"Ascoli Piceno, Italy",1856,"London, England",1929,"Worcester, MA",,
177,Carlo Dolci,Christ Bearing his Cross,1480,"Ascoli Piceno, Italy",1811,"London, England",1919-12,,,
178,Carlo Dolci,Mater Dolorosa,1475,"Ascoli Piceno, Italy",1835,"London, England",1937,,,
179,Domenichino (Domenico Zampieri),Infant Christ with the Emblems of the Passion,1620,"Bologna, Italy",1840,"London, England",x,,,
180,Domenichino (Domenico Zampieri),Landscape-Riposo,1615,"Bologna, Italy",1855,"London, England",x,,,
181,Francia (Francesco Raibolini),Lucretia,1490,"Bologna, Italy",1840,"London, England",1955,"York, England",,
182,Francia (Francesco Raibolini),Holy Family with St. Anthony,1512,"Bologna, Italy",1855,"London, England",x,,,
183,Garfolo (Benvenuto Tisio),Riposo,1530,"Ferrara, Italy",1856-05-03,"London, England",1930,"New York, NY",1931,"Detroit, MI"
184,Garfolo (Benvenuto Tisio),St. James,1540,"Ferrara, Italy",1854,"London, England",1947,"Los Angeles, CA",1986,"New York, NY"
185,Luca Giordano,St. Michael,1660,"Naples, Italy",1798,"London, England",x,,,
186,Girogione,Salome with the Head of St. John the Baptist,1575,"Venice, Italy",1830,"London, England",1960,"New York, NY",,
187,Guercino da Centro,Semiramis Receiving News of the Revolt of Babylon,1645,"Rome, Italy",1858-03-20,"London, England",1919-12,"London, England",,
188,Guercino da Centro,The Sick Child,1620,"Bologna, Italy",1795,"London, England",1938-02,,,
189,Leonardo Da Vinci (ascribed to),Bust of Christ,1625,"Milan, Italy ",1810,"London, England",x,,,
190,Lombard School,Martydom of St. Sebastian,1540,Italy,1859-07-28,"London, England",1934,,,
191,Bernardino Luini,Holy Family,1510,"Milan, Italy ",1836,"London, England",1939,"New York, NY",,
192,Andrea Mantegna,Christ's Agony in the Gardens,1458,"Verona, Italy",1849-06-09,"London, England",1894,"The National Gallery, London",,
193,Lodovico Mazzolini,Infant Christ with the Doctors in the Temple,1510,"Ferrara, Italy",1856-05-03,"London, England",x,,,
194,Antonio Raffaelle Mengs,Portrait,1760,"Rome, Italy",1830,"London, England",1919-12,,,
195,Pietro Francesco Mola,Hagar and Ishmael,1657,"Rome, Italy",1856-05-03,"London, England",1972,"New York, NY",1999,"Austin, TX"
196,Pietro Francesco Mola,Riposo,1650,"Rome, Italy",1838,"London, England",x,,,
197,Giovanni Batista Moroni,Portrait,1560,"Albino, Italy",1850,"London, England",1929,"New York, NY",1936,"Sarasota, FL"
198,Palma Vecchio,"Holy Family, St. Chatarine and St. Mary Magdalen",1510,"Venice, Italy",1852-06-19,"London, England",1930,,,
199,Pietro Paolini,Virgin and Child with St. Catharine,1630,"Lucca, Italy",1840,"London, England",x,,,
200,Parmegiano,Holy Family,1525,"Parma, Italy",1815,"London, England",1919-12,,,
201,Sebastiano del Piombo,Holy Family with a Donor,1517,"Rome, Italy",1849-06-09,"London, England",1895,"The National Gallery, London",,
202,Raffaello Sanzio,Virgin and Child,1505,"Perugia, Italy",1844,"London, England",1927,"Worcester, MA",,
203,Guilio Romano,St. John the Baptist Preaching,1515,Italy,1835,"London, England",x,,,
204,Guido Reni,Ecce Homo,1639,"Bologna, Italy",1815,"London, England",1943,"Cambridge, England",,
205,Guido Reni,Bust of the Virgin,1630,"Bologna, Italy",1838,"London, England",x,,,
206,Giovanni Francesco Romanelli,Europa,1625,Italy,1854,"London, England",x,,,
207,Salvator Rosa,Landscape,1640,"Rome, Italy",1810,"London, England",1919-12,,,
208,Salvator Rosa,St. John the Baptist Preaching,1660,"Rome, Italy",1810,"London, England",1919-12,,,
209,Andrea Del Sarto (Vannuchi),St. John the Baptist,1525,"Florence, Italy",1840,"London, England",1923,"New York, NY",,
210,Andrea Del Sarto (Vannuchi),Virgin and Child,1530,"Florence, Italy",1840,"London, England",1975,"New York, NY",1985,"Oberlin, OH"
211,Andrea Del Sarto (Vannuchi),Bust of a Young Man,1520,"Florence, Italy",1824,"London, England",1934,"New York, NY",1939,"Pittsburgh, PA"
212,Sassoferrato (Giuseppe Salvi),Holy Family,1645,"Rome, Italy",1845,"London, England",x,,,
213,Bartolommeo Schedone,Head of a Girl,1600,"Parma, Italy",1840,"London, England",x,,,
214,Bartolommeo Schedone,St. Mary Magdalen in Contemplation,1610,"Parma, Italy ",1840,"London, England",x,,,
215,Bartolommeo Schedone (ascribed to),Riposo,1605,Italy,1810,"London, England",x,,,
216,Antonio Solario (ascribed to),Virgin and Child,1515,"Milan, Italy ",1851,"London, England",1937-06,,,
217,Titian,Charles V on Horseback,1548,"Augsburg, Germany",1856-05-02,"London, England",1930-07,,,
218,Titian or Paris Bordone,Portrait,1521,"Venice, Italy",1853,"London, England",1930-07,,,
219,Pierino Del Vaga,Virgin and Child,1540,"Rome, Italy",1810,"London, England",x,,,
220,Pierino Del Vaga (ascribed to),Bust of a Young Woman,1550,"Florence, Italy",1830,"London, England",x,,,
221,Giorgio Vassari,St. Mark,1571,"Rome, Italy",1809,"London, England",1996,"Palm Beach, FL",2012,"Washington, D.C."
222,Giorgio Vassari,St. Luke,1571,"Rome, Italy",1809,"London, England",1996,"Palm Beach, FL",2012,"Washington, D.C."
223,Paolo Veronese,Baptism of Christ,1550,"Venice, Italy",1796,"London, England",1925-01,"Rome, Italy ",1926-12,"Philadelphia, PA"
224,Alonzo Cano,Virgin and Child,1640,"Granada, Spain",1853-05-13,"London, England",1919-12,,,
225,Luis Morales,Ecce Homo,1565,"Badajoz, Spain",1853-05-13,"London, England",1910,"New York, NY",,
226,Luis Morales,Christ Bearing the Cross,,"Badajoz, Spain",1798,"London, England",x,,,
227,BartolomŽ EstŽban Murillo,Our Lady of the Immaculate Conception,1678,"Madrid, Spain",1811,"London, England",1923,"Riverside, CA",1959,"Ponce, Puerto Rico"
228,BartolomŽ Esteb‡n Murillo,Don Andres de Andrade y la Cal,1665,"Seville, Spain",1853-05-14,"London, England",1927," Metropolitan Museum of Art, New York, NY",,
229,BartolomŽ Esteb‡n Murillo,St. Thomas of Villaneuva,1670,"Seville, Spain",1853-05-21,"London, England",1931,"New York, NY",1972-11,"Pasadena, CA"
230,BartolomŽ Esteb‡n Murillo,Assumption of the Virgin,1665,"Seville, Spain",1832,"London, England",x,,,
231,BartolomŽ Esteb‡n Murillo,Laughing Boy,1700,"Milan, Italy ",1849-06-09,"London, England",1919,"New York, NY",1990-12,"Pittsburgh, PA"
232,BartolomŽ Esteb‡n Murillo,Infant Sleeping,1660,"Seville, Spain",1851,"London, England",1937-06,,,
233,BartolomŽ Esteb‡n Murillo,Holy Family,1675,"Seville, Spain",1832,"London, England",x,,,
234,BartolomŽ Esteb‡n Murillo (ascribed to),Riposo,1680,"Seville, Spain",1840,"London, England",x,,,
235,Alonzo Sanchez (Coello),"Portrait of Don Diego, Son of King Philip II of Spain",1577,"Madrid, Spain",1853-05-07,"London, England",2006,"Liechtenstein Museum - The Princely Collections, Vienna, Austria",,
236,Alonzo Sanchez (Coello),Head of A Child,1570,"Madrid, Spain",1850,"London, England",x,,,
237,Lo Spagnoletto,The Holy Family with Saints Anne and Catherine of Alexandria,1648,"Naples, Italy",1811,"London, England",1919,"London, England",1934," Metropolitan Museum of Art, New York, NY"
